site_no	station_nm	dd_nu	parameter_cd	result_dt	result_tz_cd	result_va	result_cd	result_md
0214642825	BRIAR CREEK NEAR CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	0.94		2014-10-03 21:38:04
0214643820	EDWARDS BRANCH AT SHEFFIELD DR AT CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	0.11		2014-10-03 21:38:04
0214645022	BRIAR CR ABOVE COLONY RD AT CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	3.3		2014-10-03 21:38:04
0214645075	TRIB TO BRIAR CREEK AT COLONY RD AT CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	0.12		2014-10-03 21:38:04
0214645080	TRIB TO BRIAR CR AT RUNNYMEDE LN AT CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	0.17		2014-10-03 21:36:05
02146470	LITTLE HOPE CR AT SENECA PLACE AT CHARLOTTE, NC	03	00060	2014-10-03 21:30:00	EDT	0.36		2014-10-03 21:38:04
02146507	LITTLE SUGAR C AT ARCHDALE DR AT CHARLOTTE, NC	01	00060	2014-10-03 21:30:00	EDT	34		2014-10-03 21:38:04
02146530	LITTLE SUGAR CREEK AT PINEVILLE, NC	02	00060	2014-10-03 21:30:00	EDT	31		2014-10-03 21:38:04
0214655255	MCALPINE CREEK AT SR3150 NR IDLEWILD, NC	02	00060	2014-10-03 21:15:00	EDT	0.98		2014-10-03 21:20:03
02146562	CAMPBELL CREEK NR CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	0.95		2014-10-03 21:38:04
0214657975	IRVINS CREEK AT SR3168 NR CHARLOTTE, NC	02	00060	2014-10-03 21:30:00	EDT	0.45		2014-10-03 21:38:04
02146600	MCALPINE CR AT SARDIS ROAD NEAR CHARLOTTE, NC	01	00060	2014-10-03 21:30:00	EDT	4.0		2014-10-03 21:38:04
02146700	MCMULLEN CR AT SHARON VIEW RD NEAR CHARLOTTE, NC	01	00060	2014-10-03 21:30:00	EDT	2.2		2014-10-03 21:38:04
02146750	MCALPINE CR BELOW MCMULLEN CR NR PINEVILLE, NC	01	00060	2014-10-03 21:30:00	EDT	6.8		2014-10-03 21:38:04
0214676115	MCALPINE CREEK AT SR2964 NR CAMP COX, SC	02	00060	2014-10-03 21:15:00	EDT	87		2014-10-03 21:20:03
0214678175	STEELE CREEK AT SR1441 NR PINEVILLE, NC	02	00060	2014-10-03 21:30:00	EDT	0.60		2014-10-03 21:38:04
0214685800	SIX MILE CREEK NEAR PINEVILLE, NC	02	00060	2014-10-03 20:40:00	EDT	1.7		2014-10-03 20:49:07
02147126	WAXHAW CREEK AT SR1103 NEAR JACKSON, NC	02	00060	2014-10-03 21:15:00	EDT	2.4		2014-10-03 21:35:17
02149000	COVE CREEK NEAR LAKE LURE, NC	01	00060	2014-10-03 21:30:00	EDT	84		2014-10-03 21:36:05
02150495	SECOND BROAD RIVER NR LOGAN, NC	02	00060	2014-10-03 20:45:00	EDT	68		2014-10-03 20:52:04
02151500	BROAD RIVER NEAR BOILING SPRINGS, NC	02	00060	2014-10-03 21:15:00	EDT	1050		2014-10-03 21:24:03
02152100	FIRST BROAD RIVER NEAR CASAR, NC	01	00060	2014-10-03 21:30:00	EDT	59		2014-10-03 21:40:03
02152474	FIRST BROAD RIVER AT LAWNDALE, NC	02	00060	2014-10-03 21:15:00	EDT	136		2014-10-03 21:20:03
03161000	SOUTH FORK NEW RIVER NEAR JEFFERSON, NC	02	00060	2014-10-03 21:30:00	EDT	194		2014-10-03 21:36:05
03439000	FRENCH BROAD RIVER AT ROSMAN, NC	02	00060	2014-10-03 21:15:00	EDT	161		2014-10-03 21:20:03
03441000	DAVIDSON RIVER NEAR BREVARD, NC	01	00060	2014-10-03 21:30:00	EDT	90		2014-10-03 21:38:04
03443000	FRENCH BROAD RIVER AT BLANTYRE, NC	02	00060	2014-10-03 21:30:00	EDT	480		2014-10-03 21:40:03
03446000	MILLS RIVER NEAR MILLS RIVER, NC	02	00060	2014-10-03 21:30:00	EDT	144		2014-10-03 21:38:04
03447687	FRENCH BROAD RIVER NEAR FLETCHER, NC	11	00060	2014-10-03 20:45:00	EDT	792		2014-10-03 20:49:07
0344894205	NORTH FORK SWANNANOA RIVER NEAR WALKERTOWN, NC	02	00060	2014-10-03 20:45:00	EDT	20		2014-10-03 20:54:04
03450000	BEETREE CREEK NEAR SWANNANOA, NC	02	00060	2014-10-03 21:30:00	EDT	5.3		2014-10-03 21:38:04
03451000	SWANNANOA RIVER AT BILTMORE, NC	01	00060	2014-10-03 21:00:00	EDT	89		2014-10-03 21:06:04
03451500	FRENCH BROAD RIVER AT ASHEVILLE, NC	02	00060	2014-10-03 21:00:00	EDT	869		2014-10-03 21:06:04
03453000	IVY RIVER NEAR MARSHALL, NC	02	00060	2014-10-03 21:30:00	EDT	35		2014-10-03 21:38:04
03453500	FRENCH BROAD RIVER AT MARSHALL, NC	02	00060	2014-10-03 21:00:00	EDT	941		2014-10-03 21:14:04
03454500	FRENCH BROAD RIVER AT HOT SPRINGS, NC	02	00060	2014-10-03 21:15:00	EDT	755		2014-10-03 21:26:03
03455500	W F PIGEON R ABOVE LAKE LOGAN NR HAZELWOOD, NC	01	00060	2014-10-03 21:30:00	EDT	57		2014-10-03 21:36:05
